Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Day,Weekday,Quarter,Year,Is_Weekend,Season,Total Amount_Daily,Rolling_7D,Lag_1,Lag_7,Purchase_Frequency,Average_Spend,Category_Popularity
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,11,24,Friday,4,2023,False,Autumn,1110,1062.857142857143,1590.0,2610.0,1,50.0,301
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,2,27,Monday,1,2023,False,Winter,1825,1191.4285714285713,50.0,1130.0,1,500.0,344
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,1,13,Friday,1,2023,False,Winter,1930,576.4285714285714,280.0,1100.0,1,30.0,337
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,5,21,Sunday,2,2023,True,Spring,2900,2502.1428571428573,725.0,1060.0,1,500.0,344
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,5,6,Saturday,2,2023,True,Spring,990,699.2857142857143,1520.0,1960.0,1,50.0,301
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,4,25,Tuesday,2,2023,False,Spring,160,1390.0,170.0,500.0,1,30.0,301
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,3,13,Monday,1,2023,False,Spring,300,823.5714285714286,525.0,625.0,1,25.0,344
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,2,22,Wednesday,1,2023,False,Winter,300,1661.4285714285713,385.0,400.0,1,25.0,337
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,12,13,Wednesday,4,2023,False,Winter,725,1631.4285714285713,200.0,2940.0,1,300.0,337
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,10,7,Saturday,4,2023,True,Autumn,2500,1965.0,1500.0,2900.0,1,50.0,344
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,2,14,Tuesday,1,2023,False,Winter,400,1377.142857142857,3600.0,2100.0,1,50.0,344
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,10,30,Monday,4,2023,False,Autumn,75,1745.0,1250.0,1950.0,1,25.0,301
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,8,5,Saturday,3,2023,True,Summer,5205,1197.142857142857,260.0,575.0,1,500.0,337
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,1,17,Tuesday,1,2023,False,Winter,1645,1470.7142857142858,4000.0,200.0,1,30.0,344
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,1,16,Monday,1,2023,False,Winter,4000,1264.2857142857142,660.0,625.0,1,500.0,337
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,2,17,Friday,1,2023,False,Winter,5890,2200.714285714286,900.0,600.0,1,500.0,344
